NaChannel,NaCounts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,2
83,2
84,3
85,11
86,15
87,21
88,26
89,18
90,24
91,41
92,26
93,34
94,29
95,43
96,46
97,38
98,40
99,56
100,53
101,58
102,62
103,56
104,60
105,59
106,67
107,58
108,76
109,51
110,58
111,53
112,65
113,69
114,72
115,64
116,63
117,71
118,45
119,79
120,55
121,69
122,63
123,75
124,79
125,68
126,98
127,74
128,66
129,62
130,71
131,73
132,56
133,65
134,74
135,67
136,59
137,79
138,57
139,72
140,68
141,65
142,71
143,84
144,89
145,71
146,79
147,96
148,90
149,99
150,90
151,83
152,85
153,96
154,89
155,95
156,88
157,85
158,122
159,103
160,106
161,113
162,118
163,137
164,136
165,144
166,146
167,176
168,158
169,182
170,164
171,144
172,161
173,172
174,184
175,156
176,136
177,153
178,127
179,128
180,125
181,116
182,103
183,137
184,117
185,110
186,121
187,129
188,130
189,131
190,117
191,118
192,110
193,113
194,94
195,117
196,99
197,113
198,111
199,121
200,99
201,102
202,112
203,89
204,104
205,98
206,110
207,100
208,93
209,86
210,86
211,97
212,110
213,107
214,103
215,77
216,103
217,116
218,124
219,108
220,101
221,99
222,106
223,107
224,106
225,114
226,93
227,92
228,97
229,100
230,96
231,118
232,97
233,102
234,122
235,107
236,107
237,112
238,113
239,95
240,99
241,109
242,107
243,113
244,97
245,106
246,116
247,101
248,99
249,95
250,112
251,113
252,120
253,120
254,106
255,94
256,95
257,108
258,109
259,106
260,101
261,104
262,111
263,106
264,97
265,132
266,105
267,120
268,118
269,103
270,108
271,109
272,107
273,87
274,113
275,103
276,100
277,94
278,105
